SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate,SalesOrderNumber,PurchaseOrderNumber,BusinessEntityID,Name,SalesPersonID,Demographics,rowguid,SalesOrderID,RevisionNumber,SalesOrderNumber,PurchaseOrderNumber
43669,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43669,PO14123169936,10-4020-000578,29747,283,1,895,895,5,15538,25877Vi80261,NULL,714.7043,70.5175,22.0367,807.2585,NULL,FABFC5C2-E034-4E0E-A573-6F39E9FA0484,6/7/2011 0:00,SO43669,PO14123169936,308,Valley Bicycle Specialists,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>OS</BusinessType><YearOpened",59386B0C-652E-4668-B44B-4E1711793330,43669,8,SO43669,PO14123169936
43670,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43670,PO14384116310,10-4020-000504,29566,275,3,810,810,5,18017,105888Vi93490,NULL,6122.082,587.5603,183.6126,6893.2549,NULL,573E52A7-573F-40B6-B695-6F3D242E0C6D,6/7/2011 0:00,SO43670,PO14384116310,310,New Bikes Company,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Security</BankName><BusinessType>OS</BusinessType><YearOpened>197",47E4B6BD-5CD1-45A3-A231-79D930381C56,43670,8,SO43670,PO14384116310
43671,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43671,PO13978119376,10-4020-000200,29890,283,1,855,855,5,13693,25904Vi70960,NULL,8128.7876,780.8136,244.0042,9153.6054,NULL,005FDA9D-62E1-4001-A4AC-A976A7905F94,6/7/2011 0:00,SO43671,PO13978119376,312,Vinyl and Plastic Goods Corporation,282,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>OS</BusinessType><YearOpened",DC610525-E373-49B1-B786-EA040EC25C06,43671,8,SO43671,PO13978119376
43672,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43672,PO13862153537,10-4020-000119,30067,282,6,464,464,5,3980,95915Vi20982,4,6124.182,587.6023,183.6257,6895.41,NULL,194202AA-8E15-4932-A2C4-7A7AC0713639,6/7/2011 0:00,SO43672,PO13862153537,314,Top of the Line Bikes,288,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1986</Y",E290E93F-A980-4BA3-86C3-9858F15C8A6D,43672,8,SO43672,PO13862153537
43673,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43673,PO13775141242,10-4020-000618,29844,275,2,821,821,5,1417,35931Vi7271,NULL,3746.2015,357.9614,111.8629,4216.0258,NULL,C5CD3AE9-41F5-4B71-A3F1-D550B928572B,6/7/2011 0:00,SO43673,PO13775141242,316,Fun Toys and Bikes,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BM</BusinessType><YearOpened>1",6CDCF941-4192-49C7-994A-5ADBA534E095,43673,8,SO43673,PO13775141242
43674,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43674,PO12760141756,10-4020-000083,29596,282,6,458,458,5,19204,26081Vi99806,4,2624.382,251.9407,78.7315,2955.0542,NULL,CE8BCA02-F705-4AAE-A446-5D8B660C3A1B,6/7/2011 0:00,SO43674,PO12760141756,318,Great Bikes ,283,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BM</BusinessType><YearOpened>1981<",956FBC35-5E0D-4175-8045-E0BE380BA340,43674,8,SO43674,PO12760141756
43675,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43675,PO12412186464,10-4020-000670,29827,277,3,631,631,5,11886,126121Vi61402,NULL,5716.3102,546.8759,170.8987,6434.0848,NULL,9F2CF0EE-F2B8-44D4-897D-7641F4FBD649,6/7/2011 0:00,SO43675,PO12412186464,320,Metropolitan Sales and Rental,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>BM</BusinessType><YearOpened>1976</YearOpen",0CB4FEF2-5047-40F7-8848-B59F7A3F3EEC,43675,8,SO43675,PO12412186464
43676,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43676,PO11861165059,10-4020-000017,29811,275,5,755,755,5,18153,36168Vi94127,NULL,14203.458,1363.266,426.0206,15992.7446,NULL,28C73732-D2FD-4F0D-A9A8-0E53595235F6,6/7/2011 0:00,SO43676,PO11861165059,322,Irregulars Outlet,288,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>BM</BusinessType><YearOpened>1984</",CDE66279-83D8-4340-A83C-E86E15514AC4,43676,8,SO43676,PO11861165059
43677,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43677,PO11049174786,10-4020-000679,29824,278,6,556,556,5,14030,16302Vi72763,4,7793.1108,747.1011,233.4691,8773.681,NULL,95FAAF28-6495-40B0-9789-466B195F2F96,6/7/2011 0:00,SO43677,PO11049174786,324,Valley Toy Store,282,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BM</BusinessType><YearOpened>1979</YearO",6A1BEA56-DCB7-45CF-8C92-3705E12EB2AA,43677,8,SO43677,PO11049174786
43678,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43678,PO10817150168,10-4020-000203,29889,281,4,1021,1021,5,5093,66363Vi26658,NULL,9799.9243,942.074,294.3981,11036.3964,NULL,7F4B7542-638E-41CA-98D0-93018FE4DF77,6/7/2011 0:00,SO43678,PO10817150168,326,Worthwhile Activity Store,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BM</BusinessType><YearOpened>1987</YearOp",BAD63717-99BD-4581-8160-0F1723BE42CB,43678,8,SO43678,PO10817150168
43679,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43679,PO10527142759,10-4020-000480,29761,278,6,525,525,5,5439,126365Vi28482,4,1316.0575,125.8032,39.3135,1481.1742,NULL,17D42D83-177D-4C7E-9C86-D2DB69326E04,6/7/2011 0:00,SO43679,PO10527142759,328,Purchase Mart,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>United Security</BankName><BusinessType>OS</BusinessType><YearOpened>1992</Year",A3140349-57A3-46AA-BF32-D7F4753A06D6,43679,8,SO43679,PO10527142759
43680,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43680,PO10730130087,10-4020-000491,29489,281,4,1069,1069,5,6653,126370Vi34642,NULL,11397.4992,1093.6394,341.7623,12832.9009,NULL,9CBE5E7A-12D2-4DD4-B50C-1FFB4021C6E1,6/7/2011 0:00,SO43680,PO10730130087,330,Major Sport Suppliers,283,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>OS</BusinessType><YearOpened>1998</Yea",3B5F8572-43B0-42F5-86FF-E379D0769F28,43680,8,SO43680,PO10730130087
43681,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43681,PO1189177803,10-4020-000423,29661,279,5,955,955,5,5301,16608Vi27707,NULL,13787.5434,1323.0668,413.4584,15524.0686,NULL,C82FC32F-7E10-40D2-8A9F-3D932DB42CD4,6/7/2011 0:00,SO43681,PO1189177803,332,Family's Favorite Bike Shop,278,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>BM</BusinessType><YearOpened>1997</",712DF7B6-A6E4-4059-A1B8-6D39A80AB712,43681,8,SO43681,PO1189177803
43682,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43682,PO1566124200,10-4020-000486,29759,275,2,808,808,5,76,96712Vi373,NULL,3875.7229,371.8002,116.1876,4363.7107,NULL,CDC225D3-B639-4217-A7A4-3DED506FCEBE,6/7/2011 0:00,SO43682,PO1566124200,334,Global Plaza,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BM</BusinessType><YearOpened>1975</YearO",9A1E91D8-509B-4D96-BD77-7427C7F0C47B,43682,8,SO43682,PO1566124200
43683,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43683,PO2552113807,10-4020-000506,29497,283,1,889,889,5,13045,76866Vi67506,NULL,42813.4333,4107.1489,1283.484,48204.0662,NULL,F6E2ABB3-6FF8-49A6-9506-0B051A4618A0,6/7/2011 0:00,SO43683,PO2552113807,336,Imported and Domestic Cycles,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1000000</AnnualSales><AnnualRevenue>100000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BM</BusinessType><YearOpened>2000</Year",25C229C0-4E7A-42D2-ACB1-A2118361B2F1,43683,8,SO43683,PO2552113807
43684,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43684,PO3393188842,10-4020-000549,29912,279,5,971,971,5,267,37982Vi1394,NULL,5596.4705,537.2612,167.8941,6301.6258,NULL,3A2EFBA3-34E6-4CB5-B983-CB755AEA05DA,6/7/2011 0:00,SO43684,PO3393188842,338,Systematic Sales,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>OS</BusinessType><YearOpened>1999",DF9126A5-9C95-44A2-A31F-F759EA33EEA7,43684,8,SO43684,PO3393188842
43685,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43685,PO4176124783,10-4020-000458,30084,279,5,958,958,5,2519,108058Vi13146,NULL,2736.5678,263.201,82.2503,3082.0191,NULL,C8098FE4-2910-4BD3-9251-E9AEA7C7D118,6/7/2011 0:00,SO43685,PO4176124783,340,eCommerce Bikes,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1999</YearOp",1EC47823-4B39-4609-AAEC-6EE68CC74F81,43685,8,SO43685,PO4176124783
43686,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43686,PO5075125561,10-4020-000344,29606,283,1,871,871,5,14612,48152Vi75759,NULL,3463.2998,332.4768,103.899,3899.6756,NULL,65EF22D9-1AD7-40F4-A984-B7F074B7A6CF,6/7/2011 0:00,SO43686,PO5075125561,342,Mountain Toy Store,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BM</BusinessType><YearOpened>2000</Yea",52EFC841-97C5-4AC1-B707-FA3717B0BC48,43686,8,SO43686,PO5075125561
43687,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43687,PO4959110829,10-4020-000269,29610,275,2,783,783,5,3235,128163Vi17021,NULL,1258.3767,120.8042,37.7513,1416.9322,NULL,D04C9A8A-85B4-48F5-8ACE-D864D7EB94C7,6/7/2011 0:00,SO43687,PO4959110829,344,Retail Sales and Service,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BM</BusinessType><YearOpened>1",38F9BE1B-9137-4E4E-985D-06F6C5E02330,43687,8,SO43687,PO4959110829
43688,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43688,PO5365136389,10-4020-000161,29718,275,2,771,771,5,12399,88200Vi64099,NULL,12718.0844,1222.8838,382.1512,14323.1194,NULL,596DEE2A-ABCB-46D0-95B9-E5AFF8C6C1F8,6/7/2011 0:00,SO43688,PO5365136389,346,Designated Distributors,282,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Security</BankName><BusinessType>OS</BusinessType><YearOpened>197",5DC17A1C-F618-4B6E-BEA2-BFF96CA6BA8B,43688,8,SO43688,PO5365136389
43689,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43689,PO5626159507,10-4020-000166,29646,277,4,578,578,5,13054,98228Vi67566,NULL,33997.3702,3271.4942,1022.3419,38291.2063,NULL,D5628C44-BD37-4337-9412-3407C824DF71,6/7/2011 0:00,SO43689,PO5626159507,348,Bold Bike Accessories,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>OS</BusinessType><YearOpened",AC7A83F1-196B-4BBF-A6E0-3165D4C84454,43689,8,SO43689,PO5626159507
43690,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43690,PO6235146326,10-4020-000431,29533,275,3,801,801,5,2337,28321Vi12181,NULL,1297.5901,124.2027,38.8133,1460.6061,NULL,68942478-3091-49D6-AA0F-C3A0AA4D49D0,6/7/2011 0:00,SO43690,PO6235146326,350,Twin Cycles,286,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BM</BusinessType><YearOpened>1988<",4E917578-1942-4BAB-8E63-932052FDACEC,43690,8,SO43690,PO6235146326
43691,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43691,PO6409111675,10-4020-000292,29570,277,4,592,592,5,242,28360Vi1235,NULL,874.794,83.9802,26.2438,985.018,NULL,2EB93130-1226-4E8B-A2FD-1AD8D951D103,6/7/2011 0:00,SO43691,PO6409111675,352,Tiny Bike Boutique,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BM</BusinessType><YearOpened>1978</Yea",1D65DD5A-A7C8-4AC1-A2B6-76AD4A5946BD,43691,8,SO43691,PO6409111675
43692,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43692,PO7859187017,10-4020-000221,29992,281,4,1024,1024,5,7176,108529Vi37251,NULL,38510.8973,3696.3979,1155.1244,43362.4196,NULL,EDB9E3F0-0B76-4DBC-934E-9DABFBA01EE5,6/7/2011 0:00,SO43692,PO7859187017,354,Acclaimed Bicycle Company,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1979</Y",E71AC59C-B228-49F2-ACC2-077AA5DFC9DB,43692,8,SO43692,PO7859187017
43693,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43693,PO8120182325,10-4020-000485,29491,275,5,807,807,5,8937,128548Vi46064,NULL,20541.4072,1969.5564,615.4864,23126.45,NULL,49C3D13D-464F-49D0-B21A-A2C07145EC62,6/7/2011 0:00,SO43693,PO8120182325,356,Serious Cycles,278,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>United Security</BankName><BusinessType>OS</BusinessType><YearOpened>1996</Year",8036D3B1-1C8D-43BF-B913-D17EE0D755AF,43693,8,SO43693,PO8120182325
43694,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43694,PO9657130250,10-4020-000315,29549,279,5,943,943,5,7083,118748Vi36747,NULL,20645.634,1978.3257,618.2268,23242.1865,NULL,CEAAA999-7157-449D-8665-142793421294,6/7/2011 0:00,SO43694,PO9657130250,358,Quality Bike Sales,286,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>OS</BusinessType><YearOpened>1991</Yea",55EC3545-A751-4A37-944E-B5DF36219E11,43694,8,SO43694,PO9657130250
43695,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43695,PO10179176559,10-4020-000027,29958,279,5,911,911,5,10163,128786Vi52413,NULL,39373.781,3787.4632,1183.5823,44344.8265,NULL,F5FB98A9-A866-42CE-ADD8-6879231ED1A2,6/7/2011 0:00,SO43695,PO10179176559,360,Novelty Bikes,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>OS</BusinessType><YearOpened>1993",CD239474-966C-4474-97A9-25D52289ED52,43695,8,SO43695,PO10179176559
